id;start_date;end_date;language
1;2020-05-24T11:56:43;2020-05-24T09:46:58;SPANISH
2;2020-05-23T16:46:54;2020-05-24T11:51:19;SPANISH
3;2020-05-24T07:42:13;2020-05-23T18:16:22;FRENCH
4;2020-05-23T22:59:44;2020-05-24T10:31:10;FRENCH
5;2020-05-24T08:30:02;2020-05-24T13:17:01;FRENCH
6;2020-05-24T02:22:23;2020-05-24T14:30:37;FRENCH
7;2020-05-24T04:07:43;2020-05-23T21:58:34;FRENCH
8;2020-05-24T03:03:56;2020-05-24T13:20:04;SPANISH
9;2020-05-24T01:45:05;2020-05-23T22:26:28;SPANISH
10;2020-05-24T09:57:09;2020-05-23T20:31:39;SPANISH
